,Code,Financial Year,Annual Revenue,Annual Net,Annual EPS
388,7722,31-Mar-17,"209,263","-58,494",-73.94
389,7722,31-Mar-16,"237,240","-41,726",-52.75
390,7722,31-Mar-15,"332,744","1,614",2.03
391,7722,31-Mar-14,"320,464","30,240",40.12
392,7722,31-Mar-13,"167,684","16,917",33.86
393,7722,31-Mar-12,"105,262","14,288",34.38
394,7129,31-Mar-19,"247,130","34,398",17.67
395,7129,31-Mar-18,"351,814","59,148",30.37
396,7129,31-Mar-17,"350,324","55,921",29.09
397,7129,31-Mar-16,"389,856","76,502",40.13
398,7129,31-Mar-15,"387,416","50,195",38.48
399,7129,31-Mar-14,"365,879","60,525",52.2
400,7129,31-Mar-13,"323,384","43,050",37.21
401,7129,31-Mar-12,"276,313","48,642",42.12
402,4057,31-Mar-19,"88,703","11,233",1.09
403,4057,31-Mar-18,"193,560","44,395",4.35
404,4057,31-Mar-17,"268,329","8,926",0.92
405,4057,31-Mar-16,"154,905","73,849",7.44
406,4057,31-Mar-15,"230,312","377,291",38.29
407,4057,31-Mar-14,"285,341","38,800",3.98
408,4057,31-Mar-13,"103,137","17,599",1.81
409,4057,31-Mar-12,"88,776","15,702",1.62
410,7162,31-Jul-19,"139,938","3,227",1.18
411,7162,31-Jul-18,"546,601","28,836",10.56
412,7162,31-Jul-17,"500,590","34,442",12.59
413,7162,31-Jul-16,"472,731","30,354",11.08
414,7162,31-Jul-15,"485,730","19,804",7.23
415,7162,31-Jul-14,"490,132","28,999",18.43
416,7162,31-Jul-13,"511,833","31,614",23.56
417,7162,31-Jul-12,"352,472","20,935",15.98
418,6399,31-Jan-19,"4,111,247","344,523",6.61
419,6399,31-Jan-18,"5,530,753","770,636",14.79
420,6399,31-Jan-17,"5,612,646","623,683",11.98
421,6399,31-Jan-16,"5,475,370","615,317",11.83
422,6399,31-Jan-15,"5,231,444","519,371",9.99
423,6399,31-Jan-14,"4,790,742","448,065",8.6
424,6399,31-Jan-13,"2,210,031","201,246",6.8
425,8176,31-Mar-19,"2,105,532","91,732",7.99
426,8176,31-Mar-18,"619,065","15,863",0.71
427,8176,31-Mar-17,"101,605","-11,386",-10.9
428,8176,31-Mar-16,"92,704","3,316",3.18
429,8176,31-Mar-15,"80,078","3,102",2.97
430,8176,31-Mar-14,"77,300","-3,035",-2.91
431,8176,31-Mar-13,"93,183","4,375",4.19
432,8176,31-Mar-12,"78,293","-9,187",-8.78
433,7048,28-Feb-19,"555,884","34,120",13.45
434,7048,28-Feb-18,"826,334","49,033",19.32
435,7048,28-Feb-17,"809,436","54,539",21.5
436,7048,29-Feb-16,"768,058","43,083",16.98
437,7048,28-Feb-15,"731,161","46,466",18.31
438,7048,28-Feb-14,"765,629","206,433",81.38
439,7048,28-Feb-13,"793,030","76,049",29.99
440,7048,29-Feb-12,"543,764","22,577",8.97
441,5130,31-Dec-18,"18,779","11,620",8.12
442,5130,31-Dec-17,"17,304","18,136",7.42
443,5130,31-Dec-16,"14,522","4,687",5.91
444,5130,31-Dec-15,"12,867","15,424",12.67
445,5130,31-Dec-14,"16,152","14,822",12.17
446,5130,31-Dec-13,"16,481","24,413",20.04
447,5130,31-Dec-12,"16,348","24,189",19.85
448,5130,31-Dec-11,"14,132","17,096",14.04
449,7099,31-Mar-19,"122,152","-15,699",-7.45
450,7099,31-Mar-18,"155,858","27,571",16.27
451,7099,31-Mar-17,"128,048","18,582",25.26
452,7099,31-Mar-16,"121,130","-2,511",-3.72
453,7099,31-Mar-15,"136,596","4,130",5.62
454,7099,31-Mar-14,"146,492","2,887",6.47
455,7099,31-Mar-13,"135,845","-8,593",-17.71
456,7099,31-Mar-12,"127,971","7,106",106.82
457,7181,31-Dec-18,"15,255","4,227",6.28
458,7181,31-Dec-17,"11,432","-3,650",-5.98
459,7181,31-Dec-16,"35,035","-15,705",-25.71
460,7181,31-Dec-15,"28,831",-835,-1.37
461,7181,31-Dec-14,"27,346","-10,969",-17.95
462,7181,31-Dec-13,"58,190",-897,-1.46
463,7181,31-Dec-12,"61,853","-24,059",-39.38
464,7181,31-Dec-11,"61,944","-6,394",-10.46
465,8885,31-Mar-19,"89,235","-10,910",-1.27
466,8885,31-Mar-18,"131,397","-10,879",-1.26
467,8885,31-Mar-17,"153,940","-22,604",-2.64
468,8885,31-Mar-16,"191,187","-24,033",-2.79
469,8885,31-Mar-15,"188,965",624,0.07
470,8885,31-Mar-14,"207,978","2,128",0.25
471,8885,31-Mar-13,"215,275","1,699",0.19
472,8885,31-Mar-12,"237,583","1,624",0.19
473,7579,30-Jun-19,"154,439","13,075",4.73
474,7579,30-Jun-18,"303,964","21,377",7.96
475,7579,30-Jun-17,"296,139","21,589",8.27
476,7579,30-Jun-16,"249,339","17,244",6.78
477,7579,30-Jun-15,"127,643","7,777",3.45
478,7579,30-Jun-14,"119,570","7,175",3.19
479,7579,30-Jun-13,"144,901","4,372",1.94
480,7579,30-Jun-12,"112,918","3,800",1.68
481,6888,31-Dec-18,"23,885,781","-5,034,573",-55.5
482,6888,31-Dec-17,"24,402,401","909,480",10.2
483,6888,31-Dec-16,"21,565,392","504,252",5.7
484,6888,31-Dec-15,"19,883,461","2,554,219",29.5
485,6888,31-Dec-14,"18,711,777","2,348,664",27.4
486,6888,31-Dec-13,"18,370,841","2,550,021",29.9
487,6888,31-Dec-12,"17,677,160","2,513,285",30
488,6888,31-Dec-11,"16,447,937","2,345,628",27
489,5106,31-Dec-18,"204,362","154,979",12.57
490,5106,31-Dec-17,"168,745","122,562",10.97
491,5106,31-Dec-16,"167,363","122,292",11.1
492,5106,31-Dec-15,"163,821","96,564",13.85
493,5106,31-Dec-14,"138,835","110,455",23.64
494,5106,31-Dec-13,"141,983","111,284",24.3
495,5106,31-Dec-12,"132,966","103,116",22.68
496,5106,31-Dec-11,"114,732","81,051",21.26
497,2305,31-Dec-18,"80,852","20,151",26.92
498,2305,31-Dec-17,"52,268","12,365",16.51
499,2305,31-Mar-17,"32,392","4,897",6.54
500,2305,31-Dec-16,"20,113","5,159",6.89
501,2305,31-Mar-16,"86,953","20,601",27.52
502,2305,31-Mar-15,"102,280","43,934",58.7
503,2305,31-Mar-14,"98,445","46,378",61.96
504,2305,31-Mar-13,"51,751","14,696",19.63
505,5021,31-Mar-19,"444,391","15,634",4.11
506,5021,31-Mar-18,"562,508","23,504",6.18
507,5021,31-Mar-17,"530,084","27,835",7.32
508,5021,31-Mar-16,"591,352","8,273",2.17
509,5021,31-Mar-15,"563,796","7,059",1.85
510,5021,31-Mar-14,"656,065","12,966",3.4
511,5021,31-Mar-13,"648,779","9,551",2.58
512,5021,31-Mar-12,"137,233","5,612",1.48
513,7078,31-Dec-18,"1,228,590","14,665",2.82
514,7078,31-Dec-17,"960,685","28,234",5.48
515,7078,31-Dec-16,"1,202,251","25,991",5.37
516,7078,31-Dec-15,"714,972","22,877",4.74
517,7078,31-Dec-14,"655,550","12,710",3.87
518,7078,31-Dec-13,"584,977","5,690",2.05
519,7078,31-Dec-12,"676,338","20,159",7.27
